ID,Name,Job_role,Skills,Experience,Education,Summary
R022,Sowmya,Frontend Developer,"Html, Css, Javascript, Bootstrap, Git",1.9,B.Sc. Computer Science,Frontend Developer With A Passion For Clean Design And Responsive Ui Using Tailwind Css And Javascript.
R023,Devika,Backend Developer,"Asp.Net, C#, Sql Server, Rest Apis, Azure",2.6,M.Tech Software Engineering,"Backend Developer Skilled In Database Integration, Security, And Server Optimization In Large-Scale Applications."
R024,Mayank,Python Developer,"Python, Django Rest Framework, Pandas, Sqlite, Heroku",4,B.Tech Computer Science And Engineering,"Python Developer Focused On Data Parsing, Report Automation, And Web App Backend Scripting."
R025,Roshan,Data Scientist,"Python, Data Science, Feature Engineering, Scipy, Power Bi",5.4,M.Sc. Data Analytics,"Data Scientist With Deep Understanding Of Clustering, Classification, And Model Evaluation Techniques."
R026,Sneha,Data Scientist,"Python, Machine Learning, Pandas, Excel, Sql",3.1,M.Sc. Machine Learning,Data Scientist Experienced In Data Storytelling And Predictive Analytics Using Tableau And Machine Learning Models.
R027,Richa,Full Stack Developer,"Html, Css, Node.Js, React, Mongodb",2.5,Mca,Full Stack Developer Skilled In Both Frontend And Backend With Hands-On Experience In Mern Stack.
R028,Prashant,Full Stack Developer,"Angular, Express.Js, Mysql, Typescript, Jenkins",4.3,B.E. Computer Science,Full Stack Developer Experienced In Deploying Scalable Web Apps Using React And Node.Js.
R029,Varun,Mobile App Developer (Ios/Android),"Flutter, Dart, Firebase, Rest Api, Git",3.7,B.E. Mobile Application Development,"Mobile App Developer Proficient In Flutter And Dart, Delivering Cross-Platform Mobile Applications."
R030,Trisha,Machine Learning Engineer,"Python, Machine Learning, Tensorflow, Data Cleaning, Scikit-Learn",2.9,M.Sc. Machine Learning,Machine Learning Engineer Experienced In Building Classification Models And Feature Selection For Ai Solutions.
R031,Chirag,Machine Learning Engineer,"Ml, Deep Learning, Computer Vision, Python, Keras",1.7,M.Sc. Machine Learning,"Machine Learning Engineer With Knowledge Of Supervised/Unsupervised Learning, Tensorflow, And Model Tuning."
R032,Shravani,Machine Learning Engineer,"Python, Machine Learning, Pytorch, Matplotlib, Numpy",3.6,B.Sc. Computer Science,Machine Learning Engineer Skilled In Developing Predictive Models And Optimizing Ml Workflows.
R033,Sanjay,Machine Learning Engineer,"Data Science, Nlp, Python, Jupyter, Seaborn",4.8,M.Sc. Data Science,Machine Learning Engineer With Practical Exposure To Deep Learning And Natural Language Processing.
R034,Smitha,Machine Learning Engineer,"Ai, Python, Cnns, Deep Learning, Tensorflow",5.5,B.E. Computer Science,Machine Learning Engineer Focused On Deploying Ml Models Into Production Environments.
R035,Divya,Machine Learning Engineer,"Python, Ml Pipelines, Data Engineering, Pandas, Sklearn",3,B.Sc. Computer Applications,Machine Learning Engineer Experienced In Working With Neural Networks And Time Series Forecasting.
R036,Jayant,Machine Learning Engineer,"Python, Ai Models, Opencv, Numpy, Matplotlib",2.3,M.Sc. Data Science,Machine Learning Engineer With Expertise In Image Classification And Cnn-Based Models.
R037,Durga,Machine Learning Engineer,"Python, Machine Learning, Scikit-Learn, Pandas, Jupyter",1.5,B.Tech Computer Science And Engineering,Machine Learning Engineer Focused On Scalable Ai Solutions And Distributed Computing.
R038,Sahana,Machine Learning Engineer,"Python, Deep Learning, Tensorflow, Numpy, Data Preprocessing",2.7,B.Sc. Data Science,Machine Learning Engineer Skilled In Integrating Ml Models Into Web Or Mobile Platforms.
R039,Harsha,Cloud Engineer,"Aws, Ec2, Lambda, Cloudformation, Monitoring",3.4,M.Tech Cloud Computing,Cloud Engineer With Expertise In Cloud Infrastructure Deployment And Automation Using Aws And Azure.
R040,Lohit,Cloud Engineer,"Azure, Devops, Powershell, Virtual Networks, Storage Accounts",4.6,B.E. Electronics And Telecommunication,Cloud Engineer Experienced In Configuring Cloud Networks And Managing Virtualized Resources Securely.
R041,Ragini,Cloud Engineer,"Google Cloud Platform, Kubernetes, App Engine, Cloud Sql, Python",2.1,B.Sc. Information Technology,Cloud Engineer Skilled In Designing Fault-Tolerant Systems And Implementing Cost-Optimized Solutions.
R042,Bhavya,Cloud Engineer,"Aws, Iam, S3, Docker, Cloudwatch",3.8,Mca,"Cloud Engineer Focused On Monitoring, Scalability, And Cloud Application Performance."
R043,Tejas,Cloud Engineer,"Azure, Ci/Cd, Azure Devops, Arm Templates, Windows Server",1.6,B.E. Software Systems,Cloud Engineer Experienced In Cloud-Native Application Design And Ci/Cd Implementation.
R044,Yamini,Frontend Developer,"Html, Css, Javascript, React, Tailwind Css",2.2,M.Sc. Cloud Infrastructure,"Frontend Developer Skilled In Building Modern, Responsive Interfaces Using React.Js And Tailwind Css."
R045,Dinesh,Frontend Developer,"Javascript, Vue.Js, Bootstrap, Html5, Responsive Design",4,B.Tech Computer Engineering,"Frontend Developer With Strong Grasp On Cross-Browser Compatibility, Accessibility, And Performance Tuning."
R046,Keerthana,Frontend Developer,"React, Typescript, Scss, Git, Rest Apis",3.3,Bca,"Frontend Developer Proficient In Javascript, Html, Css, And Integrating Frontend With Backend Services."
R047,Siddharth,Frontend Developer,"Angular, Html, Css, Firebase, Javascript",2,B.E. Computer Engineering,Frontend Developer With Expertise In Ui/Ux Design Principles And Framework-Based Component Building.
R048,Archana,Frontend Developer,"Bootstrap, Html5, Css3, Javascript, Ui Design",1.4,B.E. Computer Science And Design,"Frontend Developer Focused On Clean Code, Mobile-First Design, And Frontend Architecture"
R049,Umesh,Frontend Developer,"React.Js, Redux, Tailwind, Figma, Javascript",2.8,B.E. Computer Engineering,Frontend Developer Focused On Mobile-Responsive Ui And User-Centered Design.
R050,Kajal,Frontend Developer,"Javascript, Css, Html, Webpack, Git",3.6,B.E. Computer Science,Frontend Developer Experienced In Cross-Browser Compatibility And Accessibility Standards.
R051,Vedant,Backend Developer,"React, Css Modules, Javascript, Responsive Design, Git",4.1,B.E. Computer Science And Engineering,"Backend Developer With Expertise In Server-Side Logic, Api Design, And Scalable Application Deployment."
R052,Vignesh,Backend Developer,"Html, Css, Javascript, React Native, Rest Apis",3.9,B.Tech Information Technology,"Backend Developer Skilled In Java And Spring Boot, Focused On Building Secure, Efficient Backend Systems."
R053,Preethi,Backend Developer,"Angular, Bootstrap, Html5, Css, Typescript",2.7,M.Sc. Data Science,"Backend Developer With Experience In Database Interaction, Rest Apis, And Cloud-Based Microservices."
R054,Raj,Backend Developer,"Javascript, React, Redux, Tailwind, Firebase",3.6,B.E. Computer Engineering,"Backend Developer Proficient In Backend Development Frameworks, Performance Tuning, And Integration."
R055,Malathi,Full Stack Developer,"Html, Css, Sass, Bootstrap, Jquery, Git",5.3,B.Sc. Computer Science,"Full Stack Developer Experienced In Frontend (React) And Backend (Node.Js), Delivering End-To-End Solutions."
R056,Roshan,Full Stack Developer,"Javascript, Vue.Js, Vuetify, Css3, Github",4.4,M.Tech Software Engineering,"Full Stack Developer Skilled In Web Application Design, Database Integration, And Deployment Pipelines."
R057,Lakshman,Full Stack Developer,"Php, Laravel, Vue.Js, Tailwind Css, Html",3,B.E. Information Science,Full Stack Developer With Hands-On Experience In Building Dynamic Applications Using Modern Tech Stacks.
R058,Sharanya,Full Stack Developer,"Javascript, Jquery, Bootstrap, Html5, Css3",4.7,B.Tech Computer Science,Full Stack Developer Proficient In Full-Stack Development Life Cycle And Restful Service Integration.
R059,Rekha,Python Developer,"Javascript, React, Rest Apis, Figma, Html",5.2,Bca,"Python Developer Skilled In Backend Automation, Scripting, And Flask/Django Development."
R060,Dev,Python Developer,"Angular, Scss, Bootstrap, Firebase, Typescript",4,B.E. Computer Engineering,"Python Developer With Experience In Python-Based Web Applications, Api Integration, And Deployment."
R061,Sudha,Python Developer,"Javascript, React Native, Redux, Git, Expo",2.9,M.Sc. Machine Learning,Python Developer Skilled In Building Scalable Web Applications Using Flask And Django Frameworks.
R062,Amrita,Python Developer,"Html5, Css3, Bootstrap, Material Ui, Javascript",3.5,B.Sc. Computer Science,"Python Developer With Hands-On Experience In Automation, Scripting, And Api Integrations."
R063,Abhinaya,Data Scientist,"React, Redux Toolkit, Github, Css Grid, Rest",4.6,M.Sc. Data Science,Data Scientist With Strong Analytical Skills And Expertise In Machine Learning And Statistical Modeling.
R064,Gautam,Data Scientist,"Javascript, React Native, Firebase, Css, Apis",2.2,B.E. Computer Science,"Data Scientist Experienced In Exploratory Data Analysis, Feature Engineering, And Model Evaluation."
R065,Anjali,Data Scientist,"Flutter, Dart, Firebase, Rest Api, Git",1.9,B.Sc. Computer Applications,"Data Scientist With A Background In Classification Algorithms, Data Wrangling, And Visualization Tools."
R066,Shaurya,Python Developer,"React Native, Redux, Javascript, Git, Firebase",2.5,M.Sc. Data Science,"Python Developer Skilled In Backend Services, Data Processing Pipelines, And Deployment Automation."
R067,Ramya,Python Developer,"Flutter, Dart, Github, Cloud Firestore, Android Studio",4.8,B.Tech Computer Science And Engineering,"Python Developer With Experience In Python Scripting, Restful Apis, And Sql Database Integration."
R068,Uday,Python Developer,"Java, Kotlin, Android Studio, Rest Apis, Sqlite",3.4,B.Sc. Data Science,Python Developer Proficient In Writing Efficient Code For Backend Systems And Automation Tasks.
R069,Rohini,Python Developer,"Swift, Xcode, Firebase, Autolayout, Ios Sdk",2.6,M.Tech Cloud Computing,Python Developer With Practical Knowledge Of Full-Stack Python Development Using Flask And Postgresql.
R070,Aparna,Python Developer,"Flutter, Firebase, Rest Apis, Dart, Git",1.8,B.E. Electronics And Telecommunication,"Python Developer With A Strong Grasp Of Data Structures, Testing Frameworks, And Application Debugging."
R071,Harini,Python Developer,"Java, Android Sdk, Xml, Sqlite, Retrofit",3.3,B.Sc. Information Technology,Python Developer Experienced In Backend Development Using Flask And Automation Scripting.
R072,Latha,Python Developer,"React Native, Typescript, Firebase, Github, Expo",5.1,Mca,"Python Developer Skilled In Data Handling, Api Integration, And Writing Scalable Python Code."
R073,Bhuvana,Python Developer,"Kotlin, Android Studio, Firebase, Git, Coroutines",3.7,B.E. Software Systems,"Python Developer With Hands-On Knowledge Of Django, Sql, And Restful Service Consumption."
R074,Rohit,Python Developer,"Swift, Combine, Core Data, Firebase, Github",4.2,M.Sc. Cloud Infrastructure,Python Developer Focused On Clean Code Practices And Backend Service Optimization.
R075,Nikita,Python Developer,"React Native, Redux, Typescript, Rest Apis, Git",3.8,B.Tech Computer Engineering,Python Developer With Solid Experience In Writing Python Scripts For Business Automation.
R076,Ajay,Python Developer,"Dart, Flutterflow, Firebase, State Management, Git",2,Bca,Python Developer Skilled In Api-Based Applications And Integration With Databases.
R077,Anusha,Python Developer,"React Native, Firebase, Expo, Tailwind Css, Git",1.7,B.E. Computer Science,Python Developer With Project Experience In Task Automation And Backend Logic Development.
R078,Chaitra,Full Stack Developer,"Ios, Swiftui, Firebase, Mvvm, Git",4.3,B.E. Computer Science And Design,Full Stack Developer Skilled In Combining Frontend (React) And Backend (Node.Js) For Web Apps.
R079,Anirudh,Full Stack Developer,"Kotlin, Android Jetpack, Retrofit, Dagger, Firebase",5.6,B.E. Computer Engineering,Full Stack Developer With Experience In Full-Cycle Web Development And Database Management.
R080,Gayathri,Full Stack Developer,"Flutter, Dart, Rest Apis, Git, Bloc",3.9,B.Tech Information Technology,Full Stack Developer Proficient In Building Interactive And Responsive Applications Using Modern Stacks.
R081,Mridula,Full Stack Developer,"Swift, Uikit, Coreml, Firebase, Git",4.9,B.E. Computer Science And Engineering,Full Stack Developer Skilled In Frontend/Backend Integration And Delivering Scalable Applications.
R082,Mohana,Full Stack Developer,"Kotlin, Jetpack Compose, Room, Firebase, Retrofit",3.1,B.Tech Information Technology,Full Stack Developer Experienced In Modern Javascript Frameworks And Backend Api Services.
R083,Padma,Full Stack Developer,"Flutter, Firebase, Dart, Provider, Git",2.8,M.Sc. Data Science,"Full Stack Developer With Strong Experience In Ui Development, Restful Services, And Cloud Deployment."
R084,Saran,Full Stack Developer,"React Native, Redux, Firebase, Css, Git",4.5,B.E. Computer Engineering,Full Stack Developer With Hands-On Project Experience Using Mern Stack And Version Control Tools.
R085,Girish,Full Stack Developer,"Java, Android, Retrofit, Firebase, Git",3.6,B.Sc. Computer Science,"Full Stack Developer Focused On Writing Clean, Reusable Code For Robust Web Platforms."
R086,Sharvani,Full Stack Developer,"Ios, Swift, Firebase, Xcode, Autolayout",5,M.Tech Software Engineering,"Full Stack Developer Skilled In Collaborative Development, Deployment Pipelines, And Troubleshooting."
R087,Meenakshi,Full Stack Developer,"Flutter, Dart, Riverpod, Firebase Auth, Git",4.4,B.E. Information Science,Full Stack Developer With A Solid Understanding Of Client-Server Architecture And Responsive Design.
R088,Sudhir,Full Stack Developer,"Ios, Swift, Firebase, Xcode, Autolayout",3.2,B.Tech Computer Science,Full Stack Developer Experienced In Optimizing Web App Performance And Building Ui Components.
R089,Mounika,Full Stack Developer,"Flutter, Dart, Riverpod, Firebase Auth, Git",2.1,Bca,Full Stack Developer Skilled In Modern Web Development Tools And Third-Party Integrations.
R090,Ila,Full Stack Developer,"React Native, Redux, Firebase, Css, Git",3,M.Sc. Data Analytics,Full Stack Developer With Project Exposure To Scalable App Design And Full Sdlc Workflows.
R091,Anu,Full Stack Developer,"Java, Android, Retrofit, Firebase, Git",2.5,M.Sc. Machine Learning,Full Stack Developer With Solid Understanding Of Frontend-Backend Architecture And Deployment Practices.
R092,Mukesh,Full Stack Developer,"Ios, Swift, Firebase, Xcode, Autolayout",4.1,Mca,"Full Stack Developer Experienced In Creating Interactive, Dynamic Web Apps Using React And Node.Js."
R093,Poornima,Full Stack Developer,"Flutter, Dart, Rest Apis, Github, Firebase",2.4,B.E. Computer Science,Full Stack Developer Skilled In Building Reusable Ui Components And Integrating With Backend Apis.
R094,Rajesh,Mobile App Developer (Ios/Android),"Flutter, Dart, Firebase, Restful Apis, Git",3.5,B.E. Mobile Application Development,Full Stack Developer With Project Experience In Developing Scalable Web Platforms.
R095,Varsha,Mobile App Developer (Ios/Android),"Java, Android Sdk, Sqlite, Firebase, Retrofit",4.7,B.Tech Information Technology,Mobile App Developer (Ios/Android) Experienced In Flutter Framework And Building Cross-Platform Apps.
R096,Harish,Mobile App Developer (Ios/Android),"Kotlin, Android Studio, Firebase, Room, Dagger",3.3,B.Sc. Computer Science,"Mobile App Developer Skilled In Ui/Ux Principles, Mobile Navigation Patterns, And Api Integration."
R097,Jyothi,Mobile App Developer (Ios/Android),"Swift, Uikit, Core Data, Firebase, Xcode",2.7,M.Sc. Data Science,Mobile App Developer Proficient In Deploying Apps To Play Store And App Store With Ci/Cd.
R098,Tarun,Mobile App Developer (Ios/Android),"Flutter, Dart, Firebase, Git, Getx",4.2,M.Sc. Artificial Intelligence,"Mobile App Developer Experienced In State Management, Firebase Integration, And App Testing."
R099,Manav,Mobile App Developer (Ios/Android),"React Native, Typescript, Firebase, Github, Redux",1.9,M.Sc. Machine Learning,Mobile App Developer With Knowledge In Dart Programming And Performance Optimization.
R100,Shradha,Mobile App Developer (Ios/Android),"Ios, Swiftui, Firebase, Combine, Git",3.6,M.Tech Artificial Intelligence,Mobile App Developer Skilled In Building Responsive Mobile Interfaces And User Authentication.
R101,Subha,Mobile App Developer (Ios/Android),"Kotlin, Android Jetpack, Coroutines, Firebase, Git",4,B.Sc. Data Science,Mobile App Developer Experienced In Building Cross-Platform Apps Using Flutter And Dart.
R102,Vinay,Mobile App Developer (Ios/Android),"Flutter, Firebase, Rest Api, Dart, Provider",2.9,B.Tech Cloud Computing,Mobile App Developer With Strong Understanding Of Mobile Design Patterns And App Lifecycle.
R103,Yash,Mobile App Developer (Ios/Android),"Android Sdk, Java, Sqlite, Firebase, Mvvm",4.4,B.E. Information Technology,"Mobile App Developer Skilled In Integrating Third-Party Apis, Local Storage, And Responsive Uis."
R104,Amal,Mobile App Developer (Ios/Android),"Ios, Swift, Coreml, Firebase, Uikit",3.7,Mca,Mobile App Developer With Hands-On Experience In Deploying Apps To Android And Ios Platforms.
R105,Kamala,Mobile App Developer (Ios/Android),"Flutter, Dart, Riverpod, Firebase Firestore, Git",2.8,B.Sc. Artificial Intelligence,"Mobile App Developer Focused On Performance Optimization, Navigation, And Firebase Integration."
R106,Vasanth,Mobile App Developer (Ios/Android),"Kotlin, Room Db, Firebase, Hilt, Android Studio",4.9,M.Sc. Computer Science,Mobile App Developer With Practical Exposure To Push Notifications And Real-Time Data Sync.
R107,Bhavin,Mobile App Developer (Ios/Android),"Flutter, Dart, Firebase, Rest Apis, Github",5.3,B.Tech Cybersecurity,"Mobile App Developer Proficient In Unit Testing, State Management, And Mobile Debugging."
R108,Vineet,Mobile App Developer (Ios/Android),"Flutter, Dart, Firebase, Rest Apis, Git",3.1,B.Sc. Cloud Computing,Mobile App Developer With Experience In Scalable App Architecture And Ci/Cd Pipelines.
R109,Lalit,Mobile App Developer (Ios/Android),"Python, Machine Learning, Tensorflow, Numpy, Pandas",2.6,M.Sc. Ai And Data Science,"Mobile App Developer Focused On Developing Ui-Rich, Smooth-Performance Mobile Apps."
R110,Sowmiya,Machine Learning Engineer,"Python, Deep Learning, Keras, Scikit-Learn, Matplotlib",4.3,B.Tech Computer Science,"Machine Learning Engineer With Expertise In Model Development, Training Pipelines, And Evaluation."
R111,Vaishnavi,Machine Learning Engineer,"Python, Nlp, Pytorch, Hugging Face, Transformers",3.8,B.E. Computer Application,Machine Learning Engineer Skilled In Building Predictive Models And Data Preprocessing Pipelines.
R112,Nakul,Machine Learning Engineer,"Python, Machine Learning, Opencv, Cnn, Data Augmentation",4.6,M.Sc. Software Systems,"Machine Learning Engineer Experienced In Feature Selection, Model Tuning, And Evaluation Metrics."
R113,Jayashree,Machine Learning Engineer,"Python, Ai, Rnn, Lstm, Tensorflow, Pandas",3.4,B.Sc. Data Analytics,Machine Learning Engineer With Strong Background In Supervised/Unsupervised Learning And Python Libraries.
R114,Farhan,Machine Learning Engineer,"Python, Neural Networks, Numpy, Matplotlib, Scikit-Learn",2.2,B.Tech Software Engineering,"Machine Learning Engineer Proficient In Ml Algorithms, Model Validation, And Real-World Data Handling."
R115,Zaid,Machine Learning Engineer,"Python, Machine Learning, Keras, Feature Engineering, Jupyter",1.6,M.Sc. Deep Learning,"Machine Learning Engineer Skilled In Exploratory Data Analysis, Model Deployment, And Automation."
R116,Kalyani,Machine Learning Engineer,"Python, Deep Learning, Tensorflow, Google Colab, Pandas",3.2,B.Sc. Machine Learning,"Machine Learning Engineer With Practical Experience In Regression, Classification, And Clustering Models."
R117,Prem,Machine Learning Engineer,"Python, Ml Algorithms, Cnn, Gans, Tensorboard",5.1,M.Tech Big Data,Machine Learning Engineer Experienced In Data Visualization And Integrating Ml Into Web Applications.
R118,Devaki,Machine Learning Engineer,"Python, Ai Models, Numpy, Data Cleaning, Seaborn",4.5,B.E. Data Science And Engineering,"Machine Learning Engineer With Expertise In Python, Scikit-Learn, Tensorflow, And Project Delivery."
R119,Ishaan,Machine Learning Engineer,"Aws, Ec2, S3, Cloudformation, Iam",2.7,B.Tech Internet Of Things,Machine Learning Engineer Skilled In Creating Scalable Machine Learning Workflows And Testing Frameworks.
R120,Saranya,Machine Learning Engineer,"Azure, Azure Devops, Blob Storage, Powershell, Networking",3.9,B.Sc. Cloud And Devops,Machine Learning Engineer Focused On Building Impactful Solutions Using End-To-End Ml Pipelines.
R121,Vimala,Machine Learning Engineer,"Gcp, Bigquery, App Engine, Pub/Sub, Cloud Functions",4,Mca,"Machine Learning Engineer Experienced In Supervised Learning, Data Preprocessing, And Model Evaluation."
R122,Rajesh,Cloud Engineer,"Aws, Cloudwatch, Docker, Ecs, Security Groups",2.4,M.Sc. Data Science And Ai,Cloud Engineer With Expertise In Cloud Infrastructure Provisioning And Automation Using Terraform.
R123,Aarav,Cloud Engineer,"Azure, Virtual Machines, Resource Manager, Ci/Cd, Key Vault",3.3,B.E. Software Engineering,"Cloud Engineer Skilled In Aws Services, Vpc Setup, Ec2 Management, And Security Configurations."
R124,Ishika,Cloud Engineer,"Node.Js, Express, Mongodb, Docker, Git",1.5,B.Tech Artificial Intelligence,"Cloud Engineer Experienced In Monitoring Tools, Ci/Cd Pipelines, And Cost Optimization Strategies."
R125,Pranav,Cloud Engineer,"Spring Boot, Java, Mysql, Jenkins, Rest Apis",2,B.Sc. Software Development,"Cloud Engineer With Knowledge Of Containerization (Docker, Kubernetes) And Cloud Security."
R126,Tanvi,Cloud Engineer,"Django, Python, Postgresql, Aws Ec2, Restful Apis",3.6,M.Sc. Computational Intelligence,"Cloud Engineer Experienced In Cross-Region Failover, Cloud Backups, And Performance Tuning."
R127,Karan,Cloud Engineer,"Flask, Python, Sqlite, Github, Heroku",2.3,B.E. Cloud Infrastructure,Cloud Engineer With Strong Scripting Skills (Python/Bash) For Automated Deployments.
R128,Riya,Cloud Engineer,"Node.Js, Mysql, Redis, Api Integration, Kubernetes",4.8,B.Tech Ai And Ml,Cloud Engineer Focused On Designing High-Availability And Fault-Tolerant Architectures.
R129,Aditya,Cloud Engineer,"Php, Laravel, Postgresql, Docker, Nginx",2.6,B.Sc. Computer Networks,"Cloud Engineer Experienced In Load Balancing, Storage Management, And Compliance Monitoring."
R130,Snehal,Cloud Engineer,"Java, Hibernate, Spring Mvc, Mysql, Maven",3,M.Tech Robotics And Ai,Cloud Engineer With Expertise In Cloud Migration And Hybrid Cloud Deployment Strategies.
R131,Yuvan,Cloud Engineer,"Go, Rest Apis, Mongodb, Docker, Kubernetes",4.1,B.E. Information Systems,"Cloud Engineer Skilled In Real-Time Monitoring, Scaling, And Serverless Architecture Design."
R132,Nandita,Cloud Engineer,"Ruby On Rails, Postgresql, Aws Rds, Sidekiq, Git",5,B.Sc. Programming And Data Science,Cloud Engineer With Experience In Devops Practices And Infrastructure As Code Tools.
R133,Ritvik,Cloud Engineer,"Python, Django Rest Framework, Mysql, Redis, Rabbitmq",3.5,M.Sc. Applied Ai,Cloud Engineer Knowledgeable In Deployment Automation And Disaster Recovery Planning.
R134,Tanya,Frontend Developer,"Java, Spring Boot, Mongodb, Gradle, Kafka",2.9,B.Tech Web Technology,"Frontend Developer Skilled In Responsive Design, React.Js, And Ui/Ux Principles."
R135,Darshan,Frontend Developer,"Asp.Net Core, C#, Sql Server, Azure Devops, Entity Framework",4.7,B.E. Full Stack Development,"Frontend Developer With Experience In Javascript, Css3, Html5, And Frontend Debugging."
R136,Shalini,Frontend Developer,"Node.Js, Graphql, Typescript, Postgresql, Docker",1.8,M.Sc. Cloud Services,"Frontend Developer Experienced In Version Control, Reusable Component Design, And Testing."
R137,Nikhil,Frontend Developer,"Django, Python, Postgresql, Gunicorn, Nginx",3.1,B.Sc. Cybersecurity,Frontend Developer Proficient In Modern Frontend Frameworks And User Interface Enhancement.
R138,Isha,Frontend Developer,"Php, Symfony, Mysql, Rest Apis, Redis",2.2,M.Tech Computer Science,Frontend Developer Skilled In Optimizing Frontend Performance And Accessibility Compliance.
R139,Rajeev,Frontend Developer,"C#, .Net, Mssql, Azure, Visual Studio",4.3,B.E. Mobile Application Development,Frontend Developer With Hands-On Experience In Frontend Tooling And Web Development Cycles.
R140,Meenal,Frontend Developer,"Golang, Gorm, Postgresql, Microservices, Docker",2.5,B.Tech Ui/Ux Design,"Frontend Developer Experienced In Animations, Form Handling, And Frontend Apis."
R141,Aniket,Frontend Developer,"Java, Rest Apis, Mysql, Jenkins, Apache Kafka",3.7,B.Sc. Frontend Engineering,Frontend Developer With Strong Skills In Interactive Interface Design And Usability Testing.
